2026-08-16 20:21:10	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m,   severity = [31mcol_character()[39m ) 
2026-08-16 20:21:10	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN
2026-08-16 20:21:10	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2026-08-16 20:21:10	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2026-08-16 20:21:10	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2026-08-16 20:21:10	[Main thread]	INFO	DatabaseConnector	connectPostgreSql	Connecting using PostgreSQL driver
2026-08-16 20:21:10	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2026-08-16 20:21:25	[Main thread]	ERROR	DataQualityDashboard	3	[Level: TABLE] [Check: cdmTable] [CDM Table: CONDITION_ERA] [CDM Field: NA] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 434 An error report has been created at  dqd/raw/errors/TABLE_cdmTable_CONDITION_ERA_NA.txt
2026-08-16 20:21:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: TABLE] [Check: measurePersonCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: NA] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 380 An error report has been created at  dqd/raw/errors/TABLE_measurePersonCompleteness_CONDITION_ERA_NA.txt
2026-08-16 20:21:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: TABLE] [Check: measureConditionEraCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: NA] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 400 An error report has been created at  dqd/raw/errors/TABLE_measureConditionEraCompleteness_CONDITION_ERA_NA.txt
2026-08-16 20:21:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureObservationPeriodOverlap
2026-08-16 20:21:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 422 An error report has been created at  dqd/raw/errors/FIELD_cdmField_CONDITION_ERA_CONDITION_ERA_ID.txt
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: CONDITION_ERA] [CDM Field: PERSON_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 415 An error report has been created at  dqd/raw/errors/FIELD_cdmField_CONDITION_ERA_PERSON_ID.txt
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 426 An error report has been created at  dqd/raw/errors/FIELD_cdmField_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 430 An error report has been created at  dqd/raw/errors/FIELD_cdmField_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 428 An error report has been created at  dqd/raw/errors/FIELD_cdmField_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
2026-08-16 20:21:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_OCCURRENCE_COUNT] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 432 An error report has been created at  dqd/raw/errors/FIELD_cdmField_CONDITION_ERA_CONDITION_OCCURRENCE_COUNT.txt
2026-08-16 20:25:48	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2026-08-16 20:25:48	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 470 An error report has been created at  dqd/raw/errors/FIELD_isRequired_CONDITION_ERA_CONDITION_ERA_ID.txt
2026-08-16 20:25:48	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: CONDITION_ERA] [CDM Field: PERSON_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 463 An error report has been created at  dqd/raw/errors/FIELD_isRequired_CONDITION_ERA_PERSON_ID.txt
2026-08-16 20:25:48	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 474 An error report has been created at  dqd/raw/errors/FIELD_isRequired_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:25:48	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 478 An error report has been created at  dqd/raw/errors/FIELD_isRequired_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:25:48	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 476 An error report has been created at  dqd/raw/errors/FIELD_isRequired_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
