2026-09-08 02:42:54	[Main thread]	INFO	readr	cli_block	 ── Column specification ──────────────────────────────────────────────────────── cols(   checkLevel = col_character(),   checkName = col_character(),   checkDescription = col_character(),   kahnContext = col_character(),   kahnCategory = col_character(),   kahnSubcategory = col_character(),   sqlFile = col_character(),   evaluationFilter = col_character(),   severity = col_character() ) 
2026-09-08 02:42:54	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN
2026-09-08 02:42:54	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2026-09-08 02:42:54	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2026-09-08 02:42:54	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2026-09-08 02:42:54	[Main thread]	INFO	DatabaseConnector	connectPostgreSql	Connecting using PostgreSQL driver
2026-09-08 02:42:54	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2026-09-08 02:42:55	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2026-09-08 02:42:55	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2026-09-08 02:42:55	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureObservationPeriodOverlap
2026-09-08 02:42:55	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2026-09-08 02:43:04	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2026-09-08 02:43:08	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2026-09-08 02:43:15	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2026-09-08 02:43:16	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2026-09-08 02:43:23	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2026-09-08 02:43:24	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2026-09-08 02:43:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2026-09-08 02:43:27	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2026-09-08 02:43:40	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2026-09-08 02:43:43	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2026-09-08 02:43:43	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2026-09-08 02:43:45	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2026-09-08 02:43:47	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2026-09-08 02:43:48	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2026-09-08 02:43:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2026-09-08 02:43:50	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2026-09-08 02:43:50	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleAfterBirth
2026-09-08 02:43:51	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleBeforeDeath
2026-09-08 02:43:52	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleStartBeforeEnd
2026-09-08 02:43:52	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2026-09-08 02:43:57	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGenderUseDescendants
2026-09-08 02:43:57	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
2026-09-08 02:44:57	[Main thread]	INFO	DataQualityDashboard	.writeResultsToJson	Writing results to file: dqd/raw/nhanes-dietary-ds2ids_g-2011.json
2026-09-08 02:44:57	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	Execution Complete
