2026-08-23 11:35:48	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m,   severity = [31mcol_character()[39m ) 
2026-08-23 11:35:48	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN
2026-08-23 11:35:48	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2026-08-23 11:35:48	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2026-08-23 11:35:48	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2026-08-23 11:35:48	[Main thread]	INFO	DatabaseConnector	connectPostgreSql	Connecting using PostgreSQL driver
2026-08-23 11:35:48	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2026-08-23 11:35:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2026-08-23 11:35:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2026-08-23 11:35:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureObservationPeriodOverlap
2026-08-23 11:35:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2026-08-23 11:35:59	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2026-08-23 11:36:03	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2026-08-23 11:36:12	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2026-08-23 11:36:13	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2026-08-23 11:36:20	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2026-08-23 11:36:22	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2026-08-23 11:36:22	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2026-08-23 11:36:25	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2026-08-23 11:36:40	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2026-08-23 11:36:43	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2026-08-23 11:36:44	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2026-08-23 11:36:46	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2026-08-23 11:36:47	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2026-08-23 11:36:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2026-08-23 11:36:50	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2026-08-23 11:36:50	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2026-08-23 11:36:50	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleAfterBirth
2026-08-23 11:36:52	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleBeforeDeath
2026-08-23 11:36:53	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleStartBeforeEnd
2026-08-23 11:36:53	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2026-08-23 11:36:58	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGenderUseDescendants
2026-08-23 11:36:58	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
2026-08-23 11:38:38	[Main thread]	INFO	DataQualityDashboard	.writeResultsToJson	Writing results to file: dqd/raw/nhanes-examination-vix-1999.json
2026-08-23 11:38:38	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	Execution Complete
